location,date,new_diagnoses,new_diagnoses_all,new_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
QLD,2020-01-22,0,0,5,0,0,0,0,0
QLD,2020-01-23,0,0,1,0,0,0,0,1
QLD,2020-01-24,0,0,8,0,0,0,0,2
QLD,2020-01-25,0,0,7,0,0,0,0,3
QLD,2020-01-26,0,0,4,0,0,0,0,4
QLD,2020-01-27,0,0,10,0,0,0,0,5
QLD,2020-01-28,0,1,41,0,1,0,0,6
QLD,2020-01-29,0,1,70,0,2,0,0,7
QLD,2020-01-30,0,0,132,0,2,0,0,8
QLD,2020-01-31,0,0,123,0,2,0,0,9
QLD,2020-02-01,0,1,49,0,3,0,0,10
QLD,2020-02-02,0,0,20,0,3,0,0,11
QLD,2020-02-03,1,1,60,1,4,0,0,12
QLD,2020-02-04,2,2,76,3,6,0,0,13
QLD,2020-02-05,0,0,87,3,6,0,0,14
QLD,2020-02-06,0,0,55,3,6,0,0,15
QLD,2020-02-07,0,1,66,3,7,0,0,16
QLD,2020-02-08,0,0,31,3,7,0,0,17
QLD,2020-02-09,0,0,30,3,7,0,0,18
QLD,2020-02-10,0,0,100,3,7,0,0,19
QLD,2020-02-11,0,0,87,3,7,0,0,20
QLD,2020-02-12,0,1,83,3,8,0,0,21
QLD,2020-02-13,0,0,84,3,8,0,0,22
QLD,2020-02-14,0,1,91,3,9,0,0,23
QLD,2020-02-15,0,0,28,3,9,0,0,24
QLD,2020-02-16,0,1,25,3,10,0,0,25
QLD,2020-02-17,0,0,72,3,10,0,0,26
QLD,2020-02-18,0,0,110,3,10,0,0,27
QLD,2020-02-19,0,1,74,3,11,0,0,28
QLD,2020-02-20,0,2,102,3,13,0,0,29
QLD,2020-02-21,0,2,102,3,15,0,0,30
QLD,2020-02-22,0,1,47,3,16,0,0,31
QLD,2020-02-23,0,1,36,3,17,0,0,32
QLD,2020-02-24,0,0,146,3,17,0,0,33
QLD,2020-02-25,0,1,165,3,18,0,0,34
QLD,2020-02-26,0,1,214,3,19,0,0,35
QLD,2020-02-27,0,2,192,3,21,0,0,36
QLD,2020-02-28,0,0,189,3,21,0,0,37
QLD,2020-02-29,0,0,114,3,21,0,0,38
QLD,2020-03-01,0,2,125,3,23,0,0,39
QLD,2020-03-02,1,4,523,4,27,0,0,40
QLD,2020-03-03,0,2,572,4,29,0,0,41
QLD,2020-03-04,1,1,661,5,30,0,0,42
QLD,2020-03-05,0,3,759,5,33,0,0,43
QLD,2020-03-06,1,6,802,6,39,0,0,44
QLD,2020-03-07,2,7,380,8,46,0,0,45
QLD,2020-03-08,1,13,472,9,59,0,0,46
QLD,2020-03-09,3,23,2723,12,82,0,0,47
QLD,2020-03-10,1,18,2486,13,100,1,1,48
QLD,2020-03-11,4,22,2256,17,122,1,0,49
QLD,2020-03-12,10,27,3071,27,149,1,0,50
QLD,2020-03-13,6,31,4033,33,180,1,0,51
QLD,2020-03-14,6,27,1531,39,207,1,0,52
QLD,2020-03-15,9,40,1028,48,247,1,0,53
QLD,2020-03-16,10,42,4322,58,289,1,0,54
QLD,2020-03-17,17,61,2990,75,350,1,0,55
QLD,2020-03-18,12,67,2200,87,417,1,0,56
QLD,2020-03-19,8,87,1978,95,504,1,0,57
QLD,2020-03-20,12,71,1893,107,575,1,0,58
QLD,2020-03-21,10,70,1111,117,645,1,0,59
QLD,2020-03-22,15,65,945,132,710,2,1,60
QLD,2020-03-23,20,70,2304,152,780,2,0,61
QLD,2020-03-24,10,52,2175,162,832,2,0,62
QLD,2020-03-25,10,37,2225,172,869,2,0,63
QLD,2020-03-26,4,24,2945,176,893,3,1,64
QLD,2020-03-27,11,31,2617,187,924,3,0,65
QLD,2020-03-28,11,31,1426,198,955,3,0,66
QLD,2020-03-29,6,18,900,204,973,3,0,67
QLD,2020-03-30,4,14,2389,208,987,4,1,68
QLD,2020-03-31,5,14,1975,213,1001,4,0,69
QLD,2020-04-01,3,10,1750,216,1011,4,0,70
QLD,2020-04-02,4,12,1470,220,1023,5,1,71
QLD,2020-04-03,1,2,1507,221,1025,5,0,72
QLD,2020-04-04,5,7,752,226,1032,5,0,73
QLD,2020-04-05,1,4,507,227,1036,5,0,74
QLD,2020-04-06,1,1,1661,228,1037,5,0,75
QLD,2020-04-07,0,1,2815,228,1038,5,0,76
QLD,2020-04-08,1,4,2880,229,1042,5,0,77
QLD,2020-04-09,4,7,2632,233,1049,5,0,78
QLD,2020-04-10,1,1,792,234,1050,5,0,79
QLD,2020-04-11,2,2,982,236,1052,5,0,80
QLD,2020-04-12,0,0,760,236,1052,5,0,81
QLD,2020-04-13,0,3,884,236,1055,5,0,82
QLD,2020-04-14,1,2,2621,237,1057,5,0,83
QLD,2020-04-15,2,2,2449,239,1059,5,0,84
QLD,2020-04-16,0,0,2618,239,1059,5,0,85
QLD,2020-04-17,1,1,3054,240,1060,5,0,86
QLD,2020-04-18,0,0,1429,240,1060,5,0,87
QLD,2020-04-19,0,0,995,240,1060,5,0,88
QLD,2020-04-20,1,1,2658,241,1061,5,0,89
QLD,2020-04-21,0,0,2293,241,1061,5,0,90
QLD,2020-04-22,0,0,2512,241,1061,5,0,91
QLD,2020-04-23,0,1,2068,241,1062,5,0,92
QLD,2020-04-24,0,0,2032,241,1062,5,0,93
QLD,2020-04-25,0,0,1098,241,1062,5,0,94
QLD,2020-04-26,0,1,1044,241,1063,5,0,95
QLD,2020-04-27,0,0,3274,241,1063,5,0,96
QLD,2020-04-28,0,1,3255,241,1064,5,0,97
QLD,2020-04-29,1,1,3006,242,1065,5,0,98
QLD,2020-04-30,0,1,2819,242,1066,5,0,99
